,date,keyword
0,2020-01-01,0
1,2020-01-02,0
2,2020-01-03,0
3,2020-01-04,0
4,2020-01-05,0
5,2020-01-06,0
6,2020-01-07,0
7,2020-01-08,0
8,2020-01-09,0
9,2020-01-10,0
10,2020-01-11,0
11,2020-01-12,0
12,2020-01-13,0
13,2020-01-14,0
14,2020-01-15,0
15,2020-01-16,0
16,2020-01-17,0
17,2020-01-18,0
18,2020-01-19,0
19,2020-01-20,0
20,2020-01-21,0
21,2020-01-22,0
22,2020-01-23,0
23,2020-01-24,0
24,2020-01-25,0
25,2020-01-26,0
26,2020-01-27,0
27,2020-01-28,0
28,2020-01-29,0
29,2020-01-30,0
30,2020-01-31,0
31,2020-02-01,0
32,2020-02-02,0
33,2020-02-03,0
34,2020-02-04,0
35,2020-02-05,0
36,2020-02-06,0
37,2020-02-07,0
38,2020-02-08,0
39,2020-02-09,0
40,2020-02-10,0
41,2020-02-11,0
42,2020-02-12,0
43,2020-02-13,0
44,2020-02-14,0
45,2020-02-15,0
46,2020-02-16,0
47,2020-02-17,0
48,2020-02-18,0
49,2020-02-19,0
50,2020-02-20,0
51,2020-02-21,0
52,2020-02-22,1
53,2020-02-23,1
54,2020-02-24,1
55,2020-02-25,1
56,2020-02-26,2
57,2020-02-27,3
58,2020-02-28,3
59,2020-02-29,3
60,2020-03-01,3
61,2020-03-02,5
62,2020-03-03,5
63,2020-03-04,5
64,2020-03-05,7
65,2020-03-06,9
66,2020-03-07,9
67,2020-03-08,8
68,2020-03-09,13
69,2020-03-10,17
70,2020-03-11,25
71,2020-03-12,45
72,2020-03-13,50
73,2020-03-14,50
74,2020-03-15,56
75,2020-03-16,73
76,2020-03-17,74
77,2020-03-18,77
78,2020-03-19,83
79,2020-03-20,88
80,2020-03-21,85
81,2020-03-22,91
82,2020-03-23,96
83,2020-03-24,92
84,2020-03-25,90
85,2020-03-26,94
86,2020-03-27,94
87,2020-03-28,90
88,2020-03-29,92
89,2020-03-30,97
90,2020-03-31,96
91,2020-04-01,100
92,2020-04-02,93
93,2020-04-03,98
94,2020-04-04,97
95,2020-04-05,94
96,2020-04-06,97
97,2020-04-07,89
98,2020-04-08,81
99,2020-04-09,80
100,2020-04-10,75
101,2020-04-11,73
102,2020-04-12,65
103,2020-04-13,72
104,2020-04-14,70
105,2020-04-15,67
106,2020-04-16,70
107,2020-04-17,64
108,2020-04-18,63
109,2020-04-19,63
110,2020-04-20,64
111,2020-04-21,63
112,2020-04-22,65
113,2020-04-23,64
114,2020-04-24,61
115,2020-04-25,52
116,2020-04-26,54
117,2020-04-27,63
118,2020-04-28,62
119,2020-04-29,58
120,2020-04-30,57
121,2020-05-01,56
122,2020-05-02,53
123,2020-05-03,53
124,2020-05-04,59
125,2020-05-05,55
126,2020-05-06,55
127,2020-05-07,57
128,2020-05-08,51
129,2020-05-09,51
130,2020-05-10,48
131,2020-05-11,59
132,2020-05-12,56
133,2020-05-13,57
134,2020-05-14,56
135,2020-05-15,54
136,2020-05-16,48
137,2020-05-17,48
138,2020-05-18,55
139,2020-05-19,55
140,2020-05-20,52
141,2020-05-21,52
142,2020-05-22,48
143,2020-05-23,45
144,2020-05-24,46
145,2020-05-25,46
146,2020-05-26,53
147,2020-05-27,51
148,2020-05-28,47
149,2020-05-29,43
150,2020-05-30,37
151,2020-05-31,33
152,2020-06-01,39
153,2020-06-02,38
154,2020-06-03,39
155,2020-06-04,40
156,2020-06-05,39
157,2020-06-06,36
158,2020-06-07,37
159,2020-06-08,42
160,2020-06-09,43
161,2020-06-10,43
162,2020-06-11,45
163,2020-06-12,45
164,2020-06-13,40
165,2020-06-14,39
166,2020-06-15,50
167,2020-06-16,51
168,2020-06-17,54
169,2020-06-18,55
170,2020-06-19,58
171,2020-06-20,55
172,2020-06-21,48
173,2020-06-22,62
174,2020-06-23,65
175,2020-06-24,70
176,2020-06-25,77
177,2020-06-26,84
178,2020-06-27,72
179,2020-06-28,69
180,2020-06-29,81
181,2020-06-30,82
182,2020-07-01,82
183,2020-07-02,82
184,2020-07-03,72
185,2020-07-04,65
186,2020-07-05,65
187,2020-07-06,82
188,2020-07-07,86
189,2020-07-08,87
190,2020-07-09,80
191,2020-07-10,81
192,2020-07-11,73
193,2020-07-12,73
194,2020-07-13,89
195,2020-07-14,88
