,date,dog
0,2022-01-01,67
1,2022-01-02,68
2,2022-01-03,62
3,2022-01-04,56
4,2022-01-05,56
5,2022-01-06,50
6,2022-01-07,62
7,2022-01-08,72
8,2022-01-09,73
9,2022-01-10,57
10,2022-01-11,59
11,2022-01-12,61
12,2022-01-13,60
13,2022-01-14,57
14,2022-01-15,71
15,2022-01-16,69
16,2022-01-17,58
17,2022-01-18,52
18,2022-01-19,51
19,2022-01-20,57
20,2022-01-21,59
21,2022-01-22,70
22,2022-01-23,68
23,2022-01-24,49
24,2022-01-25,52
25,2022-01-26,51
26,2022-01-27,56
27,2022-01-28,62
28,2022-01-29,71
29,2022-01-30,70
30,2022-01-31,57
31,2022-02-01,57
32,2022-02-02,57
33,2022-02-03,56
34,2022-02-04,59
35,2022-02-05,69
36,2022-02-06,70
37,2022-02-07,63
38,2022-02-08,68
39,2022-02-09,63
40,2022-02-10,51
41,2022-02-11,60
42,2022-02-12,74
43,2022-02-13,72
44,2022-02-14,63
45,2022-02-15,61
46,2022-02-16,62
47,2022-02-17,63
48,2022-02-18,68
49,2022-02-19,80
50,2022-02-20,77
51,2022-02-21,70
52,2022-02-22,61
53,2022-02-23,59
54,2022-02-24,55
55,2022-02-25,59
56,2022-02-26,72
57,2022-02-27,75
58,2022-02-28,59
59,2022-03-01,56
60,2022-03-02,59
61,2022-03-03,60
62,2022-03-04,63
63,2022-03-05,78
64,2022-03-06,71
65,2022-03-07,60
66,2022-03-08,55
67,2022-03-09,61
68,2022-03-10,58
69,2022-03-11,61
70,2022-03-12,71
71,2022-03-13,73
72,2022-03-14,61
73,2022-03-15,60
74,2022-03-16,59
75,2022-03-17,58
76,2022-03-18,63
77,2022-03-19,79
78,2022-03-20,76
79,2022-03-21,63
80,2022-03-22,62
81,2022-03-23,61
82,2022-03-24,60
83,2022-03-25,61
84,2022-03-26,73
85,2022-03-27,76
86,2022-03-28,62
87,2022-03-29,60
88,2022-03-30,61
89,2022-03-31,56
90,2022-04-01,58
91,2022-04-02,71
92,2022-04-03,72
93,2022-04-04,56
94,2022-04-05,58
95,2022-04-06,57
96,2022-04-07,57
97,2022-04-08,62
98,2022-04-09,69
99,2022-04-10,70
100,2022-04-11,58
101,2022-04-12,56
102,2022-04-13,57
103,2022-04-14,60
104,2022-04-15,64
105,2022-04-16,68
106,2022-04-17,70
107,2022-04-18,58
108,2022-04-19,56
109,2022-04-20,60
110,2022-04-21,60
111,2022-04-22,60
112,2022-04-23,72
113,2022-04-24,72
