,date,hund
0,2022-01-01,43
1,2022-01-02,41
2,2022-01-03,52
3,2022-01-04,46
4,2022-01-05,33
5,2022-01-06,40
6,2022-01-07,32
7,2022-01-08,55
8,2022-01-09,34
9,2022-01-10,34
10,2022-01-11,44
11,2022-01-12,44
12,2022-01-13,46
13,2022-01-14,36
14,2022-01-15,100
15,2022-01-16,38
16,2022-01-17,24
17,2022-01-18,46
18,2022-01-19,43
19,2022-01-20,57
20,2022-01-21,53
21,2022-01-22,63
22,2022-01-23,46
23,2022-01-24,51
24,2022-01-25,35
25,2022-01-26,28
26,2022-01-27,52
27,2022-01-28,41
28,2022-01-29,45
29,2022-01-30,34
30,2022-01-31,49
31,2022-02-01,25
32,2022-02-02,30
33,2022-02-03,28
34,2022-02-04,21
35,2022-02-05,50
36,2022-02-06,36
37,2022-02-07,45
38,2022-02-08,28
39,2022-02-09,48
40,2022-02-10,24
41,2022-02-11,34
42,2022-02-12,37
43,2022-02-13,41
44,2022-02-14,40
45,2022-02-15,40
46,2022-02-16,36
47,2022-02-17,40
48,2022-02-18,32
49,2022-02-19,35
50,2022-02-20,30
51,2022-02-21,29
52,2022-02-22,33
53,2022-02-23,27
54,2022-02-24,34
55,2022-02-25,17
56,2022-02-26,38
57,2022-02-27,28
58,2022-02-28,46
59,2022-03-01,33
60,2022-03-02,41
61,2022-03-03,35
62,2022-03-04,18
63,2022-03-05,43
64,2022-03-06,23
65,2022-03-07,23
66,2022-03-08,31
67,2022-03-09,41
68,2022-03-10,35
69,2022-03-11,30
70,2022-03-12,42
71,2022-03-13,47
72,2022-03-14,33
73,2022-03-15,20
74,2022-03-16,32
75,2022-03-17,34
76,2022-03-18,30
77,2022-03-19,44
78,2022-03-20,39
79,2022-03-21,32
80,2022-03-22,35
81,2022-03-23,44
82,2022-03-24,35
83,2022-03-25,29
84,2022-03-26,36
85,2022-03-27,54
86,2022-03-28,30
87,2022-03-29,27
88,2022-03-30,32
89,2022-03-31,28
90,2022-04-01,30
91,2022-04-02,29
92,2022-04-03,32
93,2022-04-04,28
94,2022-04-05,28
95,2022-04-06,20
96,2022-04-07,23
97,2022-04-08,28
98,2022-04-09,31
99,2022-04-10,36
100,2022-04-11,31
101,2022-04-12,18
102,2022-04-13,30
103,2022-04-14,21
104,2022-04-15,29
105,2022-04-16,29
106,2022-04-17,29
107,2022-04-18,18
108,2022-04-19,39
109,2022-04-20,27
110,2022-04-21,40
111,2022-04-22,23
112,2022-04-23,33
113,2022-04-24,21
114,2022-04-25,25
115,2022-04-26,32
116,2022-04-27,23
117,2022-04-28,30
118,2022-04-29,22
119,2022-04-30,32
120,2022-05-01,38
121,2022-05-02,22
122,2022-05-03,21
123,2022-05-04,26
124,2022-05-05,23
125,2022-05-06,19
126,2022-05-07,33
127,2022-05-08,44
128,2022-05-09,30
129,2022-05-10,23
130,2022-05-11,26
131,2022-05-12,33
132,2022-05-13,23
133,2022-05-14,27
134,2022-05-15,33
135,2022-05-16,21
136,2022-05-17,42
137,2022-05-18,38
138,2022-05-19,6
139,2022-05-20,31
140,2022-05-21,34
141,2022-05-22,39
142,2022-05-23,25
143,2022-05-24,31
144,2022-05-25,21
145,2022-05-26,39
146,2022-05-27,36
147,2022-05-28,26
148,2022-05-29,30
149,2022-05-30,38
150,2022-05-31,33
151,2022-06-01,13
152,2022-06-02,30
153,2022-06-03,32
154,2022-06-04,31
155,2022-06-05,44
156,2022-06-06,22
157,2022-06-07,30
158,2022-06-08,23
159,2022-06-09,27
160,2022-06-10,21
161,2022-06-11,35
162,2022-06-12,30
163,2022-06-13,27
164,2022-06-14,38
165,2022-06-15,33
166,2022-06-16,27
167,2022-06-17,32
168,2022-06-18,37
169,2022-06-19,52
170,2022-06-20,16
171,2022-06-21,32
172,2022-06-22,29
173,2022-06-23,36
174,2022-06-24,37
175,2022-06-25,30
176,2022-06-26,30
177,2022-06-27,30
178,2022-06-28,33
179,2022-06-29,23
180,2022-06-30,33
181,2022-07-01,34
182,2022-07-02,55
183,2022-07-03,44
184,2022-07-04,40
185,2022-07-05,28
186,2022-07-06,31
187,2022-07-07,28
188,2022-07-08,29
189,2022-07-09,35
190,2022-07-10,54
191,2022-07-11,34
192,2022-07-12,26
193,2022-07-13,19
194,2022-07-14,0
195,2022-07-15,31
196,2022-07-16,34
197,2022-07-17,36
198,2022-07-18,26
199,2022-07-19,34
200,2022-07-20,34
201,2022-07-21,29
202,2022-07-22,34
203,2022-07-23,35
204,2022-07-24,55
205,2022-07-25,34
206,2022-07-26,27
207,2022-07-27,29
208,2022-07-28,26
209,2022-07-29,26
210,2022-07-30,23
211,2022-07-31,30
212,2022-08-01,39
213,2022-08-02,25
214,2022-08-03,52
215,2022-08-04,35
216,2022-08-05,31
217,2022-08-06,30
218,2022-08-07,36
219,2022-08-08,42
220,2022-08-09,48
221,2022-08-10,38
222,2022-08-11,34
223,2022-08-12,34
224,2022-08-13,42
225,2022-08-14,66
226,2022-08-15,36
227,2022-08-16,44
228,2022-08-17,31
229,2022-08-18,35
230,2022-08-19,32
231,2022-08-20,39
232,2022-08-21,54
233,2022-08-22,30
234,2022-08-23,39
235,2022-08-24,22
236,2022-08-25,22
237,2022-08-26,31
238,2022-08-27,33
239,2022-08-28,35
240,2022-08-29,26
241,2022-08-30,35
242,2022-08-31,34
243,2022-09-01,37
244,2022-09-02,29
245,2022-09-03,49
246,2022-09-04,49
247,2022-09-05,43
248,2022-09-06,19
249,2022-09-07,39
250,2022-09-08,33
251,2022-09-08,56
252,2022-09-09,45
253,2022-09-10,36
254,2022-09-11,92
255,2022-09-12,56
256,2022-09-13,37
257,2022-09-14,61
258,2022-09-15,65
259,2022-09-16,72
260,2022-09-17,51
261,2022-09-18,79
262,2022-09-19,73
263,2022-09-20,65
264,2022-09-21,50
265,2022-09-22,54
266,2022-09-23,42
267,2022-09-24,53
268,2022-09-25,66
269,2022-09-26,45
270,2022-09-27,53
271,2022-09-28,45
272,2022-09-29,39
273,2022-09-30,38
274,2022-10-01,71
275,2022-10-02,54
276,2022-10-03,57
277,2022-10-04,57
278,2022-10-05,56
279,2022-10-06,45
280,2022-10-07,35
281,2022-10-08,58
282,2022-10-09,59
283,2022-10-10,42
284,2022-10-11,52
285,2022-10-12,41
286,2022-10-13,46
287,2022-10-14,55
288,2022-10-15,58
289,2022-10-16,100
290,2022-10-17,31
291,2022-10-18,55
292,2022-10-19,28
293,2022-10-20,36
294,2022-10-21,74
295,2022-10-22,42
296,2022-10-23,41
297,2022-10-24,59
298,2022-10-25,59
299,2022-10-26,55
300,2022-10-27,40
301,2022-10-28,56
302,2022-10-29,62
303,2022-10-30,100
304,2022-10-31,66
305,2022-11-01,66
306,2022-11-02,36
307,2022-11-03,47
308,2022-11-04,60
309,2022-11-05,21
310,2022-11-06,72
311,2022-11-07,33
312,2022-11-08,33
313,2022-11-09,48
314,2022-11-10,30
315,2022-11-11,36
