,date,perro
0,2022-01-01,65
1,2022-01-02,63
2,2022-01-03,55
3,2022-01-04,62
4,2022-01-05,50
5,2022-01-06,58
6,2022-01-07,59
7,2022-01-08,59
8,2022-01-09,66
9,2022-01-10,64
10,2022-01-11,58
11,2022-01-12,60
12,2022-01-13,67
13,2022-01-14,55
14,2022-01-15,67
15,2022-01-16,71
16,2022-01-17,71
17,2022-01-18,54
18,2022-01-19,51
19,2022-01-20,56
20,2022-01-21,68
21,2022-01-22,69
22,2022-01-23,69
23,2022-01-24,48
24,2022-01-25,50
25,2022-01-26,59
26,2022-01-27,63
27,2022-01-28,58
28,2022-01-29,71
29,2022-01-30,59
30,2022-01-31,62
31,2022-02-01,64
32,2022-02-02,58
33,2022-02-03,63
34,2022-02-04,60
35,2022-02-05,65
36,2022-02-06,75
37,2022-02-07,66
38,2022-02-08,56
39,2022-02-09,57
40,2022-02-10,48
41,2022-02-11,72
42,2022-02-12,80
43,2022-02-13,66
44,2022-02-14,59
45,2022-02-15,69
46,2022-02-16,57
47,2022-02-17,59
48,2022-02-18,57
49,2022-02-19,80
50,2022-02-20,72
51,2022-02-21,64
52,2022-02-22,62
53,2022-02-23,66
54,2022-02-24,60
55,2022-02-25,59
56,2022-02-26,64
57,2022-02-27,74
58,2022-02-28,53
59,2022-03-01,66
60,2022-03-02,62
61,2022-03-03,56
62,2022-03-04,62
63,2022-03-05,61
64,2022-03-06,68
65,2022-03-07,59
66,2022-03-08,61
67,2022-03-09,61
68,2022-03-10,56
69,2022-03-11,58
70,2022-03-12,63
71,2022-03-13,82
72,2022-03-14,57
73,2022-03-15,57
74,2022-03-16,63
75,2022-03-17,60
76,2022-03-18,66
77,2022-03-19,75
78,2022-03-20,71
79,2022-03-21,71
80,2022-03-22,62
81,2022-03-23,64
82,2022-03-24,67
83,2022-03-25,66
84,2022-03-26,67
85,2022-03-27,84
86,2022-03-28,64
87,2022-03-29,55
88,2022-03-30,62
89,2022-03-31,64
90,2022-04-01,66
91,2022-04-02,63
92,2022-04-03,76
93,2022-04-04,59
94,2022-04-05,62
95,2022-04-06,66
96,2022-04-07,53
97,2022-04-08,60
98,2022-04-09,69
99,2022-04-10,74
100,2022-04-11,65
101,2022-04-12,66
102,2022-04-13,64
103,2022-04-14,59
104,2022-04-15,61
105,2022-04-16,68
106,2022-04-17,79
107,2022-04-18,63
108,2022-04-19,56
109,2022-04-20,67
110,2022-04-21,60
111,2022-04-22,55
112,2022-04-23,73
113,2022-04-24,72
114,2022-04-25,60
115,2022-04-26,55
116,2022-04-27,58
117,2022-04-28,56
118,2022-04-29,63
119,2022-04-30,68
120,2022-05-01,66
121,2022-05-02,61
122,2022-05-03,57
123,2022-05-04,58
124,2022-05-05,71
125,2022-05-06,58
126,2022-05-07,62
127,2022-05-08,68
128,2022-05-09,53
129,2022-05-10,54
130,2022-05-11,54
131,2022-05-12,58
132,2022-05-13,63
133,2022-05-14,69
134,2022-05-15,74
135,2022-05-16,64
136,2022-05-17,55
137,2022-05-18,58
138,2022-05-19,67
139,2022-05-20,63
140,2022-05-21,79
141,2022-05-22,77
142,2022-05-23,62
143,2022-05-24,60
144,2022-05-25,53
145,2022-05-26,61
146,2022-05-27,66
147,2022-05-28,75
148,2022-05-29,100
149,2022-05-30,92
150,2022-05-31,65
151,2022-06-01,62
