,date,chien
0,2022-01-01,50
1,2022-01-02,61
2,2022-01-03,59
3,2022-01-04,58
4,2022-01-05,49
5,2022-01-06,49
6,2022-01-07,51
7,2022-01-08,66
8,2022-01-09,61
9,2022-01-10,71
10,2022-01-11,52
11,2022-01-12,53
12,2022-01-13,53
13,2022-01-14,53
14,2022-01-15,60
15,2022-01-16,55
16,2022-01-17,59
17,2022-01-18,56
18,2022-01-19,38
19,2022-01-20,67
20,2022-01-21,55
21,2022-01-22,65
22,2022-01-23,64
23,2022-01-24,61
24,2022-01-25,56
25,2022-01-26,55
26,2022-01-27,41
27,2022-01-28,64
28,2022-01-29,59
29,2022-01-30,44
30,2022-01-31,55
31,2022-02-01,44
32,2022-02-02,64
33,2022-02-03,67
34,2022-02-04,78
35,2022-02-05,69
36,2022-02-06,58
37,2022-02-07,71
38,2022-02-08,69
39,2022-02-09,83
40,2022-02-10,44
41,2022-02-11,79
42,2022-02-12,61
43,2022-02-13,50
44,2022-02-14,55
45,2022-02-15,49
46,2022-02-16,49
47,2022-02-17,64
48,2022-02-18,67
49,2022-02-19,55
50,2022-02-20,74
51,2022-02-21,42
52,2022-02-22,70
53,2022-02-23,55
54,2022-02-24,48
55,2022-02-25,54
56,2022-02-26,69
57,2022-02-27,72
58,2022-02-28,72
59,2022-03-01,64
60,2022-03-02,64
61,2022-03-03,64
62,2022-03-04,80
63,2022-03-05,69
64,2022-03-06,66
65,2022-03-07,73
66,2022-03-08,64
67,2022-03-09,64
68,2022-03-10,59
69,2022-03-11,60
70,2022-03-12,68
71,2022-03-13,73
72,2022-03-14,51
73,2022-03-15,64
74,2022-03-16,67
75,2022-03-17,68
76,2022-03-18,65
77,2022-03-19,83
78,2022-03-20,60
79,2022-03-21,69
80,2022-03-22,56
81,2022-03-23,63
82,2022-03-24,40
83,2022-03-25,62
84,2022-03-26,0
85,2022-03-27,0
86,2022-03-28,0
87,2022-03-29,0
88,2022-03-30,0
89,2022-03-31,0
90,2022-04-01,0
91,2022-04-02,0
92,2022-04-03,0
93,2022-04-04,0
94,2022-04-05,0
95,2022-04-06,0
96,2022-04-07,0
97,2022-04-08,0
98,2022-04-09,0
99,2022-04-10,0
100,2022-04-11,0
101,2022-04-12,0
102,2022-04-13,0
103,2022-04-14,0
104,2022-04-15,0
105,2022-04-16,0
106,2022-04-17,0
107,2022-04-18,0
108,2022-04-19,0
109,2022-04-20,0
110,2022-04-21,0
111,2022-04-22,0
112,2022-04-23,0
113,2022-04-24,0
114,2022-04-25,0
115,2022-04-26,0
116,2022-04-27,0
117,2022-04-28,0
118,2022-04-29,0
119,2022-04-30,0
120,2022-05-01,0
121,2022-05-02,0
122,2022-05-03,0
123,2022-05-04,0
124,2022-05-05,0
125,2022-05-06,0
126,2022-05-07,0
127,2022-05-08,0
128,2022-05-09,0
129,2022-05-10,0
130,2022-05-11,0
131,2022-05-12,0
132,2022-05-13,0
133,2022-05-14,0
134,2022-05-15,0
135,2022-05-16,0
136,2022-05-17,0
137,2022-05-18,0
138,2022-05-19,0
139,2022-05-20,0
140,2022-05-21,0
141,2022-05-22,0
142,2022-05-23,0
143,2022-05-24,0
144,2022-05-25,0
145,2022-05-26,0
146,2022-05-27,0
147,2022-05-28,0
148,2022-05-29,0
149,2022-05-30,0
150,2022-05-31,0
151,2022-06-01,0
152,2022-06-02,0
153,2022-06-03,0
154,2022-06-04,0
155,2022-06-05,0
156,2022-06-06,0
157,2022-06-07,0
158,2022-06-08,0
159,2022-06-09,0
160,2022-06-10,0
161,2022-06-11,0
162,2022-06-12,0
163,2022-06-13,0
164,2022-06-14,0
165,2022-06-15,0
166,2022-06-16,0
167,2022-06-17,0
168,2022-06-18,78
169,2022-06-19,83
170,2022-06-20,71
171,2022-06-21,70
172,2022-06-22,86
173,2022-06-23,73
174,2022-06-24,72
175,2022-06-25,68
176,2022-06-26,77
177,2022-06-27,71
178,2022-06-28,59
179,2022-06-29,56
180,2022-06-30,57
181,2022-07-01,64
182,2022-07-02,75
183,2022-07-03,82
184,2022-07-04,87
185,2022-07-05,58
186,2022-07-06,74
187,2022-07-07,82
188,2022-07-08,70
189,2022-07-09,73
190,2022-07-10,83
191,2022-07-11,64
192,2022-07-12,58
193,2022-07-13,55
194,2022-07-14,65
195,2022-07-15,95
196,2022-07-16,88
197,2022-07-17,86
198,2022-07-18,85
199,2022-07-19,87
200,2022-07-20,77
201,2022-07-21,70
202,2022-07-22,88
203,2022-07-23,69
204,2022-07-24,61
205,2022-07-25,75
206,2022-07-26,67
207,2022-07-27,73
208,2022-07-28,71
209,2022-07-29,79
210,2022-07-30,88
211,2022-07-31,67
212,2022-08-01,93
213,2022-08-02,64
214,2022-08-03,89
215,2022-08-04,87
216,2022-08-05,80
217,2022-08-06,80
218,2022-08-07,72
219,2022-08-08,78
220,2022-08-09,75
221,2022-08-10,60
222,2022-08-11,71
223,2022-08-12,100
224,2022-08-13,64
225,2022-08-14,78
226,2022-08-15,80
227,2022-08-16,67
228,2022-08-17,68
229,2022-08-18,78
230,2022-08-19,52
231,2022-08-20,85
232,2022-08-21,66
233,2022-08-22,64
234,2022-08-23,85
235,2022-08-24,57
236,2022-08-25,62
237,2022-08-26,55
238,2022-08-27,62
239,2022-08-28,75
240,2022-08-29,83
241,2022-08-30,56
242,2022-08-31,68
243,2022-09-01,66
244,2022-09-02,67
245,2022-09-03,76
246,2022-09-04,80
247,2022-09-05,44
248,2022-09-06,51
249,2022-09-07,51
250,2022-09-08,70
251,2022-09-08,67
252,2022-09-09,74
253,2022-09-10,66
254,2022-09-11,60
255,2022-09-12,45
256,2022-09-13,82
257,2022-09-14,75
258,2022-09-15,63
259,2022-09-16,50
260,2022-09-17,74
261,2022-09-18,76
262,2022-09-19,55
263,2022-09-20,60
264,2022-09-21,62
265,2022-09-22,55
266,2022-09-23,50
267,2022-09-24,66
268,2022-09-25,76
269,2022-09-26,72
270,2022-09-27,82
271,2022-09-28,61
272,2022-09-29,49
273,2022-09-30,67
274,2022-10-01,84
275,2022-10-02,59
276,2022-10-03,68
277,2022-10-04,61
278,2022-10-05,68
279,2022-10-06,65
280,2022-10-07,78
281,2022-10-08,77
282,2022-10-09,78
283,2022-10-10,69
284,2022-10-11,57
285,2022-10-12,60
286,2022-10-13,72
287,2022-10-14,67
288,2022-10-15,100
289,2022-10-16,78
290,2022-10-17,52
291,2022-10-18,54
292,2022-10-19,79
293,2022-10-20,67
294,2022-10-21,82
295,2022-10-22,77
296,2022-10-23,79
297,2022-10-24,44
298,2022-10-25,67
299,2022-10-26,59
300,2022-10-27,53
301,2022-10-28,60
302,2022-10-29,57
303,2022-10-30,38
304,2022-10-31,45
305,2022-11-01,57
306,2022-11-02,50
307,2022-11-03,53
308,2022-11-04,56
309,2022-11-05,70
310,2022-11-06,68
311,2022-11-07,66
312,2022-11-08,48
313,2022-11-09,56
314,2022-11-10,52
315,2022-11-11,61
316,2022-11-12,62
317,2022-11-13,60
318,2022-11-14,53
