,date,hund
0,2022-01-01,50
1,2022-01-02,39
2,2022-01-03,47
3,2022-01-04,50
4,2022-01-05,31
5,2022-01-06,48
6,2022-01-07,25
7,2022-01-08,49
8,2022-01-09,46
9,2022-01-10,41
10,2022-01-11,52
11,2022-01-12,47
12,2022-01-13,49
13,2022-01-14,53
14,2022-01-15,100
15,2022-01-16,50
16,2022-01-17,37
17,2022-01-18,51
18,2022-01-19,48
19,2022-01-20,67
20,2022-01-21,51
21,2022-01-22,48
22,2022-01-23,53
23,2022-01-24,53
24,2022-01-25,40
25,2022-01-26,33
26,2022-01-27,54
27,2022-01-28,40
28,2022-01-29,48
29,2022-01-30,32
30,2022-01-31,40
31,2022-02-01,31
32,2022-02-02,35
33,2022-02-03,26
34,2022-02-04,26
35,2022-02-05,57
36,2022-02-06,31
37,2022-02-07,46
38,2022-02-08,37
39,2022-02-09,45
40,2022-02-10,27
41,2022-02-11,35
42,2022-02-12,45
43,2022-02-13,37
44,2022-02-14,33
45,2022-02-15,39
46,2022-02-16,24
47,2022-02-17,39
48,2022-02-18,34
49,2022-02-19,36
50,2022-02-20,26
51,2022-02-21,32
52,2022-02-22,38
53,2022-02-23,36
54,2022-02-24,32
55,2022-02-25,20
56,2022-02-26,39
57,2022-02-27,33
58,2022-02-28,50
59,2022-03-01,46
60,2022-03-02,50
61,2022-03-03,37
62,2022-03-04,18
63,2022-03-05,27
64,2022-03-06,17
65,2022-03-07,28
66,2022-03-08,24
67,2022-03-09,44
68,2022-03-10,41
69,2022-03-11,31
70,2022-03-12,43
71,2022-03-13,47
72,2022-03-14,31
73,2022-03-15,21
74,2022-03-16,34
75,2022-03-17,30
76,2022-03-18,29
77,2022-03-19,50
78,2022-03-20,51
79,2022-03-21,41
80,2022-03-22,38
81,2022-03-23,42
82,2022-03-24,39
83,2022-03-25,26
84,2022-03-26,37
85,2022-03-27,38
86,2022-03-28,30
87,2022-03-29,35
88,2022-03-30,27
89,2022-03-31,28
90,2022-04-01,30
91,2022-04-02,26
92,2022-04-03,28
93,2022-04-04,25
94,2022-04-05,34
95,2022-04-06,23
96,2022-04-07,27
97,2022-04-08,29
98,2022-04-09,27
99,2022-04-10,30
100,2022-04-11,29
101,2022-04-12,18
102,2022-04-13,39
103,2022-04-14,32
104,2022-04-15,14
105,2022-04-16,40
106,2022-04-17,32
107,2022-04-18,14
108,2022-04-19,44
109,2022-04-20,23
110,2022-04-21,35
111,2022-04-22,25
112,2022-04-23,39
113,2022-04-24,6
114,2022-04-25,31
115,2022-04-26,35
116,2022-04-27,36
117,2022-04-28,34
118,2022-04-29,28
119,2022-04-30,26
120,2022-05-01,35
121,2022-05-02,28
122,2022-05-03,25
123,2022-05-04,29
