,date,perro
0,2022-01-01,60
1,2022-01-02,67
2,2022-01-03,54
3,2022-01-04,63
4,2022-01-05,52
5,2022-01-06,58
6,2022-01-07,61
7,2022-01-08,58
8,2022-01-09,66
9,2022-01-10,64
10,2022-01-11,57
11,2022-01-12,57
12,2022-01-13,64
13,2022-01-14,58
14,2022-01-15,68
15,2022-01-16,65
16,2022-01-17,66
17,2022-01-18,55
18,2022-01-19,55
19,2022-01-20,57
20,2022-01-21,65
21,2022-01-22,66
22,2022-01-23,70
23,2022-01-24,55
24,2022-01-25,51
25,2022-01-26,59
26,2022-01-27,64
27,2022-01-28,61
28,2022-01-29,73
29,2022-01-30,58
30,2022-01-31,59
31,2022-02-01,64
32,2022-02-02,58
33,2022-02-03,62
34,2022-02-04,64
35,2022-02-05,69
36,2022-02-06,73
37,2022-02-07,64
38,2022-02-08,58
39,2022-02-09,58
40,2022-02-10,48
41,2022-02-11,72
42,2022-02-12,80
43,2022-02-13,69
44,2022-02-14,60
45,2022-02-15,70
46,2022-02-16,58
47,2022-02-17,58
48,2022-02-18,55
49,2022-02-19,79
50,2022-02-20,71
51,2022-02-21,65
52,2022-02-22,65
53,2022-02-23,66
54,2022-02-24,60
55,2022-02-25,63
56,2022-02-26,66
57,2022-02-27,74
58,2022-02-28,51
59,2022-03-01,65
60,2022-03-02,60
61,2022-03-03,54
62,2022-03-04,60
63,2022-03-05,60
64,2022-03-06,68
65,2022-03-07,58
66,2022-03-08,61
67,2022-03-09,63
68,2022-03-10,48
69,2022-03-11,57
70,2022-03-12,62
71,2022-03-13,82
72,2022-03-14,56
73,2022-03-15,60
74,2022-03-16,63
75,2022-03-17,58
76,2022-03-18,65
77,2022-03-19,71
78,2022-03-20,70
79,2022-03-21,67
80,2022-03-22,59
81,2022-03-23,65
82,2022-03-24,67
83,2022-03-25,66
84,2022-03-26,66
85,2022-03-27,84
86,2022-03-28,66
87,2022-03-29,57
88,2022-03-30,61
89,2022-03-31,64
90,2022-04-01,62
91,2022-04-02,66
92,2022-04-03,75
93,2022-04-04,53
94,2022-04-05,61
95,2022-04-06,66
96,2022-04-07,49
97,2022-04-08,58
98,2022-04-09,69
99,2022-04-10,72
100,2022-04-11,64
101,2022-04-12,66
102,2022-04-13,61
103,2022-04-14,60
104,2022-04-15,59
105,2022-04-16,67
106,2022-04-17,79
107,2022-04-18,63
108,2022-04-19,57
109,2022-04-20,67
110,2022-04-21,64
111,2022-04-22,56
112,2022-04-23,74
113,2022-04-24,73
114,2022-04-25,60
115,2022-04-26,55
116,2022-04-27,57
117,2022-04-28,56
118,2022-04-29,60
119,2022-04-30,66
120,2022-05-01,67
121,2022-05-02,62
122,2022-05-03,56
123,2022-05-04,57
124,2022-05-05,70
125,2022-05-06,59
126,2022-05-07,63
127,2022-05-08,66
128,2022-05-09,53
129,2022-05-10,55
130,2022-05-11,52
131,2022-05-12,56
132,2022-05-13,62
133,2022-05-14,69
134,2022-05-15,75
135,2022-05-16,66
136,2022-05-17,56
137,2022-05-18,58
138,2022-05-19,67
139,2022-05-20,65
140,2022-05-21,80
141,2022-05-22,77
142,2022-05-23,62
143,2022-05-24,64
144,2022-05-25,52
145,2022-05-26,61
146,2022-05-27,64
147,2022-05-28,73
148,2022-05-29,100
149,2022-05-30,87
150,2022-05-31,67
151,2022-06-01,62
152,2022-06-02,53
153,2022-06-03,64
154,2022-06-04,66
155,2022-06-05,76
156,2022-06-06,61
157,2022-06-07,56
158,2022-06-08,50
159,2022-06-09,66
160,2022-06-10,63
161,2022-06-11,62
162,2022-06-12,76
163,2022-06-13,62
164,2022-06-14,62
165,2022-06-15,59
166,2022-06-16,56
167,2022-06-17,66
168,2022-06-18,67
169,2022-06-19,89
170,2022-06-20,64
171,2022-06-21,63
172,2022-06-22,53
173,2022-06-23,63
174,2022-06-24,70
175,2022-06-25,76
176,2022-06-26,73
177,2022-06-27,65
178,2022-06-28,71
179,2022-06-29,71
180,2022-06-30,66
181,2022-07-01,65
182,2022-07-02,77
183,2022-07-03,80
184,2022-07-04,76
185,2022-07-05,65
186,2022-07-06,59
187,2022-07-07,61
188,2022-07-08,66
189,2022-07-09,83
190,2022-07-10,77
191,2022-07-11,67
192,2022-07-12,67
193,2022-07-13,60
194,2022-07-14,65
195,2022-07-15,68
196,2022-07-16,76
197,2022-07-17,79
198,2022-07-18,70
199,2022-07-19,67
200,2022-07-20,63
201,2022-07-21,81
202,2022-07-22,84
203,2022-07-23,79
204,2022-07-24,81
205,2022-07-25,69
206,2022-07-26,60
207,2022-07-27,63
208,2022-07-28,71
209,2022-07-29,79
210,2022-07-30,73
211,2022-07-31,82
212,2022-08-01,58
213,2022-08-02,67
214,2022-08-03,73
215,2022-08-04,64
216,2022-08-05,61
217,2022-08-06,68
218,2022-08-07,81
219,2022-08-08,57
220,2022-08-09,62
221,2022-08-10,59
222,2022-08-11,58
223,2022-08-12,61
224,2022-08-13,94
225,2022-08-14,94
226,2022-08-15,70
227,2022-08-16,68
228,2022-08-17,66
229,2022-08-18,61
230,2022-08-19,63
231,2022-08-20,70
232,2022-08-21,85
233,2022-08-22,61
234,2022-08-23,63
235,2022-08-24,62
236,2022-08-25,65
237,2022-08-26,81
238,2022-08-27,78
239,2022-08-28,83
240,2022-08-29,71
241,2022-08-30,68
242,2022-08-31,69
243,2022-09-01,73
244,2022-09-02,68
245,2022-09-03,79
246,2022-09-04,79
247,2022-09-05,75
248,2022-09-06,63
249,2022-09-07,65
250,2022-09-08,58
251,2022-09-08,64
252,2022-09-09,63
253,2022-09-10,81
254,2022-09-11,72
255,2022-09-12,70
256,2022-09-13,74
257,2022-09-14,72
258,2022-09-15,65
259,2022-09-16,67
260,2022-09-17,83
261,2022-09-18,79
262,2022-09-19,77
263,2022-09-20,63
264,2022-09-21,76
265,2022-09-22,69
266,2022-09-23,67
267,2022-09-24,82
268,2022-09-25,83
269,2022-09-26,72
270,2022-09-27,69
271,2022-09-28,74
272,2022-09-29,70
273,2022-09-30,74
274,2022-10-01,77
275,2022-10-02,83
276,2022-10-03,60
277,2022-10-04,66
278,2022-10-05,79
279,2022-10-06,74
280,2022-10-07,74
281,2022-10-08,81
282,2022-10-09,94
283,2022-10-10,70
284,2022-10-11,73
285,2022-10-12,70
286,2022-10-13,70
287,2022-10-14,72
288,2022-10-15,100
289,2022-10-16,95
290,2022-10-17,78
291,2022-10-18,64
292,2022-10-19,73
293,2022-10-20,71
294,2022-10-21,66
295,2022-10-22,77
296,2022-10-23,91
297,2022-10-24,77
298,2022-10-25,80
299,2022-10-26,70
300,2022-10-27,76
301,2022-10-28,76
302,2022-10-29,88
303,2022-10-30,86
304,2022-10-31,72
305,2022-11-01,71
306,2022-11-02,72
307,2022-11-03,80
308,2022-11-04,75
309,2022-11-05,68
310,2022-11-06,80
311,2022-11-07,75
312,2022-11-08,69
313,2022-11-09,74
314,2022-11-10,69
315,2022-11-11,74
316,2022-11-12,79
317,2022-11-13,83
318,2022-11-14,77
